IdSerie,Titre,Style,Commentaire,NoteGlobale,Planche,IdBEL,Langue
11,Ibicus,Roman graphique,NULL,NULL,Ibicus.jpg,288,Français
12,Blacksad,Polar/Thriller,"Par un moche matin couleur sépia, Blacksad, détective privé de son état - ou ''fouille-merde'' selon certains - est appelé par le flic Smirnov pour reconnaître un cadavre. Il reconnaît : c'est Natalia Wilford, une actrice avec qui il a vécu jadis la plus heureuse époque de sa vie. En bon flic, Smirnov lui conseille de garder le museau hors de cette affaire. En bon fouille-merde, Blacksad ne suit pas ce conseil avisé : un salaud a tué une femme et, par la même occasion, ses meilleurs souvenirs. Il va payer.",NULL,Blacksad.jpg,500,Français
13,Aya de Yopougon,Jeunesse,"Dans les années 1970, la vie était douce en Côte d'Ivoire. Il y avait du travail, les hôpitaux étaient équipés et l'école était obligatoire. J'ai eu la chance de connaître cette époque insouciante, où les jeunes n'avaient pas à choisir leur camp trop vite, et ne se préoccupaient que de la vie courante : les études, les parents, les amours... Et c'est cela que je veux raconter dans Aya, une Afrique sans les clichés de la guerre et de la famine, cette Afrique qui subsiste malgré tout car, comme on dit chez nous, ''la vie continue''...",NULL,AyaDeYopougon_20112005.jpg,12737,Français
14,Gardiens du Maser (Les),Science-fiction,NULL,NULL,GardiensmaserP.jpg,310,Français
15,Anita Bomba,Fantastique,"Illettrée, Anita Bomba n'en consigne pas moins son journal de bord avec application. C'est avec délice que l'on suit ses péripéties en compagnie de Sig-14, le robot schizophrène et du Mentor, mystérieux personnage, à la poursuite de Kamala, la mythique réserve du trésor de l'Empire. 
Avec un dessin étonnant, des couleurs parfaitement maîtrisées tout en nuances de gris, de rouge et de sépia, Cromwell et Gratien nous font découvrir un étrange univers... 
",NULL,AnitaBomba.jpg,206,Français
16,Kucek,Aventure,NULL,NULL,kucek.jpg,2469,Français
17,Où le regard ne porte pas...,Tranche de vie,"1906, Barellito. Une famille venue de Londres emménage au bord de la mer, dans un petit village d’Italie. Le père veut se consacrer à la pêche. Le fils, William, se réjouit déjà à l’idée de courir en pleine nature, loin de la grisaille londonienne. Et puis, il y a Lisa, la petite voisine aux cheveux noirs qui l’a si gentiment accueilli… Mais les habitants de Barellito ne cachent pas leur hostilité aux nouveaux arrivants. Ils n’apprécient pas que des '' étrangers '' s’installent chez eux. Quant à Lisa, elle semble douée d’étranges pouvoirs…",NULL,ouleregardneportepasp_.jpg,8293,Français
18,Hariti,Aventure,"Dans de lointaines contrées africaines, en des temps reculés et indéterminés, en plein coeur de Bakel, règne Hariti, prêtresse colérique et redoutée... Depuis qu’à l’aube d’un jour funeste on la retrouva au pied du berceau de son enfant mort, l’esprit du Mansa a déserté son corps... elle ne peut plus enfanter...
« Qui dira toutes mes tentatives, mes espérances... Ce par quoi j’ai dû passer... Ce à quoi je me suis obligée... soumise... pour seulement être mère !... Mais maintenant, fi des hommes ! Je m’en remets au démon-mère... Obtala ! ! ! »
Invocations et rituels, mysticisme et sacrifices, trahison et révolte : voici le monde tourmenté sur lequel règne Hariti, prête à tous les dangers et toutes les souffrances pour que son ventre aride redevienne fécond...
Hariti entraîne le lecteur dans une Afrique à la fois mythique et fantastique. Une grande histoire servie par un dessin aussi somptueux qu’envoûtant.
",NULL,haritipl.jpg,1494,Français
19,Secteur 7,NULL,NULL,NULL,Secteur7pl.jpg,12856,Français
20,Mystère ovale,NULL,"L'histoire de Mystère Ovale, se déroule dans une ville aux allures fantasques, où un objet de forme ovale a été volé, puis perdu. On ne sait pas d'où il vient, à quoi il sert, ni ce qu'il vaut. Celui-ci va se retrouver sur le chemin de plusieurs personnages atypiques, et bouleverser leur existence.L'objet ovale est le fil conducteur de l'histoire. Partant du principe qu'un objet a la valeur qu'on veut bien lui donner, l'objet ovale va subir toutes sortes de transformations suivant ses différents propriétaires du moment.Il deviendra alors :- Un objet de fantasme- Un objet de destruction- Un objet de discorde- Un objet de quêteCes transformations constitueront le nerf et le rythme de ce récit, pour ''tenir en haleine'' le lecteur.Au second plan du récit, d'autres personnages apparaîtront de manière récurrente. Certains auront une incidence sur l'histoire, d'autres un caractère poétique ou absurde.Onirisme, déraison et poésie sont au rendez-vous de ce bel album, un one shot réalisé en couleurs directes...",NULL,MystereOvale_09042004.jpg,8941,Français
21,Akarus,Aventure,NULL,NULL,akaruspl.jpg,5527,Français
22,Epouvantail pointeur (L'),Fantastique,"Dans un état totalitaire où l'on veut contrôler les faits et gestes de chacun, il n'est pas toujours facile de justifier la surabondante présence policière. C'est pour cela qu'on a fait appel à un épouvantail public, sorte de Jack l'éventreur de carnaval chargé de faire « BOUH » à la populace. Flanqué de son fidèle complice canin, il course les badauds, disperse en gesticulant les attroupements suspects. La joie d'un travail bien fait. Mais l'épouvantail reçoit une terrible nouvelle. Ses employeurs lui font savoir qu'ils ont trouvé plus effrayant que lui et que par conséquent ils se voient dans l'obligation de le licencier. Que peut faire l'artiste consciencieux face à la mécanique industrielle ?",NULL,epouvantailpointeurpl.jpg,5202,Français
23,Mangecoeur,Fantastique,"Pour sauver son grand-père qui se meurt, Benjamin doit ramener le Mangecoeur, un papillon funeste, avant l'aube. Poursuivi par des clowns cruels dans une fête foraine où seuls les adultes sont admis, il rencontre Rififi, seul allié dans sa fuite. Mais cet ami et son compagnon Pantagas utilisent Benjamin à des fins peu louables. Le rêve et la magie règnent en maîtres dans ce conte merveilleux peuplé de clowns dangereusement malicieux. ",NULL,Mangecoeur.jpg,86,Français
24,Gardiens (Les) (Watchmen),Comics,"Initialement parue sous le titre ''Watchmen'' chez Aredit, titre repris par l'intégrale.
Douze minutes avant l'apocalypse nucléaire. Les Gardiens sont un groupe de super-héros dissous depuis des années après la mort d'un des leurs. Mais il semble que l'heure est venue d'éclaicir cette mort alors que le compte à rebours défile.
Anthologie de ''super''-héros déchus, superbement mise en scène par Alan Moore.",NULL,pwatchmen0620_28122001.jpg,1820,Français
25,Watchmen,Comics,NULL,NULL,NULL,NULL,Anglais
26,Black hole,Fantastique,NULL,NULL,Blackholepl.jpg,3633,Français
27,Spirit (Le),Humoristique,NULL,NULL,spiritpl.jpg,2101,Français
28,Sin City,Polar/Thriler,NULL,NULL,SinCity1p_.jpg,17414,Anglais
29,NonNonBâ,NULL,"Nous sommes au début des années 1930, dans une petite ville de la côte ouest du Japon. NonNonBâ, une vieille dame mystique et superstitieuse, est accueillie dans la famille du jeune Shigeru. Encyclopédie vivante des croyances et légendes populaires de la région, elle abreuve l'imaginaire déja débordant du garçon d?histoires de monstres et de fantômes. Les yôkaï, ces créatures surnaturelles qui peuplent l?univers des hommes, deviennent vite les compagnons de rêveries quotidiens de Shigeru, qui trouve en eux d?excellents guides pour visiter les mondes invisibles. Si ces voyages l?aident à fuir et à comprendre les émotions parfois compliquées qui naissent dans son c?ur, ils embrouillent aussi considérablement sa vie quotidienne : il est déjà bien assez difficile de savoir à qui se fier sans que des monstres bizarres et malicieux viennent s'en mêler...",NULL,Nonnonba_09102006.jpg,14201,Français
30,Gourmet solitaire (Le),Manga,"On ne sait presque rien de lui. Il travaille dans le commerce, mais ce n'est pas un homme pressé ; il aime les femmes, mais préfère vivre seul ; c'est un gastronome, mais il apprécie par-dessus tout la cuisine simple des quartiers populaires... Cet homme, c'est le gourmet solitaire. Imaginé par Masayuki Kusumi, ce personnage hors du commun prend vie sous la plume de Jirô Taniguchi, sur un mode de récit proche de l'Homme qui marche : chaque histoire l'amène ainsi à goûter un plat typiquement japonais, faisant renaître en lui des souvenirs enfouis, émerger des pensées neuves ou suscitant de furtives rencontres. Ainsi la visite d'un sushi-bar au milieu de l'après-midi lui fait-il voir d'un autre oeil les innocentes ménagères qui fréquentent le lieu, ou prend-il conscience, à l'occasion du match de Base-ball, des vertus tonifiantes du curry.",NULL,gourmetsolitairepl.jpg,12615,Français
31,Paul,Biographie,NULL,NULL,paulpl.jpg,5827,Français
32,Sagah-Nah,Humoristique,"Le diable et ses sbires contre un monstre volant. Un fantôme conteur, des morts dansants. Une mystérieuse déesse pourchassée par des Iroquois...
Voilà les rencontres que fait Zakarie de Watopeka dans une forêt de la Nouvelle-France dans le premier album d'une série intrigante, amusante et délirante, dans un style graphique trait (jeu de mot foireux) particulier et chatoyant.",NULL,SagahNah_17122002.jpg,5157,Français
33,Moral des troupes (Le),Chronique urbaine,"Troisième volume des non-aventures de Jimmy Beaulieu, Le moral des troupes est certainement son projet le plus ambitieux à ce jour. On y parle de ce que c'est que de vivre à Montréal, au Québec. On y parle de désir et de conflits entre les sexes, de fortune et d'infortune, de jeunesse, de mort et d'errance. Vieillir est probablement le thème central de ce livre sur le temps qui passe et ce qu'on laisse derrière soi.",NULL,moraldestroupespl.jpg,11484,Français
34,Quelques pelures,Divers,NULL,NULL,QuelquesPelurespl.jpg,12977,Français
35,Résine de synthèse,NULL,NULL,NULL,NULL,11485,Français
36,Guide de la survie en entreprise,Humoristique,"Congo Bob donne des conseils pour éviter les pièges de la vie en entreprise et répond aux questions concernant cet univers : comment faire apparaître un actionnaire, pourquoi les ouvriers surexploités persistent-ils à retourner au travail chaque matin...(c) fnac.com",NULL,GuideDeLaSurvieEnEntreprise_13052005.jpg,11600,Français
37,Une aventure rocambolesque de ...,Humoristique,NULL,NULL,sigmundfreud.jpg,4003,Français
38,Cosmonautes du futur (Les),Humoristique,"Ce récit est un récit forcément piégé...

Il démarre dans une école où la caméra graphique virtuose de Larcenet immobilise très vite deux gamins d’une dizaine d’années : Gildas et Martina.

Tout est normal, les parents des enfants sont sympas, les profs aussi. Gildas et Martina paraissent simplement un peu intoxiqués par la SF, le fantastique. Ils voient des robots et des aliens partout.

Pour eux, tout n’est qu’apparence trompeuses.
Un grand complot menace le monde...!

Et s’ils avaient raison ?

(c) Dargaud",NULL,CosmonauteFutur.jpg,455,Français
39,Nic Oumouk,Humoristique,"Nic Oumouk, jeune désœuvré d’une banlieue riante vit avec ces copains une vie paisible, entrecoupée de quelques tentatives de racket, brimades et rap Hardcore. Bref, tout irait pour le mieux s’il n’y avait pas Edukator, le terrible justicier de l’orthographe qui terrorise les graffeurs et autres tageurs. Ceci est une terrible histoire de vengeance et de lutte pour retrouver sa dignité, qui donne à Larcenet l’occasion d’inventer la grande série d’humour et d’aventure du xxie siècle, le Tintin du 9-3. ",NULL,NicOumouk_29032005.jpg,11328,Français
40,Retour à la terre (Le),Humoristique,"Que se passe-t-il lorsqu'un natif de Juvisy, riante bourgade de la banlieue parisienne, part s'installer à la campagne au milieu des veaux, vaches, cochons ? Au minimum, un énorme choc culturel. Il faut apprendre à parler le patois, découvrir les effets de l'alcool local et surtout se désintoxiquer du périf. 

©Dargaud.",NULL,RetourALaTerre_04102002.jpg,4491,Français
41,Combat ordinaire (Le),Tranche de vie,"Marco a quitté Vélizy pour la campagne. Il a quitté son psy parce qu’il trouve qu’il va mieux. Il a quitté son boulot de reporter parce qu’il en a marre de photographier “des cadavres exotiques ou des gens en passe de le devenir”. À part ça, tout va bien. Il a un frère complice (rigolades et gros pétards) qui l’appelle Georges et réciproquement, à cause de John Malkovich qui disait dans Des souris et des hommes : “J’aurai un petit lapin et je l’appellerai Georges, et je le garderai contre mon cœur.” Il a des parents au bord de la mer. Un papa tout ratatiné qui oublie le présent mais se rappelle très bien la couleur de la robe de sa mère le jour de son mariage. Une maman qui s’inquiète pour lui, sa constipation, son avenir et le cancer du poumon qu’il va sûrement choper, comme le fils de Mme Bergerin.

“C’est l’histoire d’un photographe fatigué, d’une fille patiente, d’horreurs banales et d’un chat pénible”, écrit Larcenet. C’est aussi un scénario parfaitement maîtrisé, drôle — de cette drôlerie complice qui évite l’ironie — et tendre, en totale osmose avec un dessin hypersensible au bonheur et à la détresse. (Sans parler du chat ou d’Emilie, le moindre canapé est craquant.) Le combat ordinaire, histoire légère et bouleversante d’une renaissance, est l’album le plus personnel de Larcenet.",NULL,combat_ordinaire.jpg,5874,Français
42,Pascin,Biographie,NULL,NULL,pascinpl.jpg,2227,Français
43,Fille du professeur (La),Roman graphique,"Trente siècles les séparent... et pourtant, ils s'aiment.",NULL,filleduprofesseurp.jpg,278,Français
44,Chat du Rabbin (Le),Aventure,"Pendant félin de Socrate le demi-chien, le chat du Rabbin essaye de répondre à une question fondamentale : peut-on apprendre la torah à un chat, fut il doué de parole ? La réponse est une fable savoureuse, d’une intelligence rare qui réjouira les amateurs d’Orient, de jolies femmes et de métaphysique.

'' Le chat du Rabbin '', c’est Alger et le quartier Juif au début du siècle. Celui qui regarde ce monde et qui raconte, c’est '' le chat du Rabbin ''. Tout de suite, il explique pourquoi le Rabbin n’a pas plutôt un chien : ''… Ça fait tellement longtemps que les Juifs se font mordre, courir après ou aboyer dessus que, finalement, ils préfèrent les chats ''. 

Le chat mange le perroquet de Zlabya, la fille du Rabbin, et du coup, le voilà doté de la parole et exigeant de faire sa bar-mitsva. Les discussions vont être longues tant avec le Rabbin lui-même qu’avec le Rabbin du Rabbin. Ce chat, qui a une allure graphique à pleurer de rire, tantôt matou tendre amoureux de sa maîtresse, tant",NULL,chatrabbin.jpg,2313,Français
45,Chez Francisque,Humoristique,"Le recueil des brèves de comptoir recueillies au troquet Chez Francisque : des blagues douteuses et trash et des dialogues navrants de racistes, phallocrates et homophobes pathétiques qui à force d'être ridicules, font rire d'eux.",NULL,ChezFrancisque_19102006.jpg,14243,Français
46,Monsieur Jean,Tranche de vie,"''Monsieur Jean?
Ah celui-là!
On se demande ce qu'il fait de ses journées...''

Paulette Poulbot (gardienne d'immeuble)


Nota Bene: La série est entièrement écrite et dessinée à quatre mains. Les auteurs sont autant l'un que l'autre dessinateurs et scénaristes.",NULL,MonsieurJean.jpg,130,Français
47,Supermurgeman,Humoristique,"Voici venu le temps de Supermurgeman, le super héros que la Hollande et les États-Unis nous envient. Armé de sa Supermurgebière ®, notre justicier va lutter contre le monopole de la SOFROCO-GEDEC afin de nous ouvrir les portes de la perception. Mais poursuivi par Alexandre Legrand, Monsieur Chocolat et les concurrentes dénudées de la Loi de la Jungle, émission culturelle de Real T.V., notre sympathique héros aura bien du mal à faire triompher la justice et le bon goût.",NULL,supermurgemanp.jpg,9928,Français
48,Lapinot (Les formidables aventures de),Humoristique,"Lapinot, personnage de l'ordre des lagomorphes, n'est assurément pas un lapin comme les autres. D'abord il s'exprime intelligiblement et, en plus, il évolue comme n'importe quel héros de BD dans un univers qui change à chaque album. Avec Lapinot nous passons du polar à la comédie, en passant par le western et le fantastique ! Et comme Trondheim ne fait rien comme les autres, il a même réalisé un album sans Lapinot : Les Aventures de l'univers.",NULL,LapinotP.jpg,128,Français
49,Miss pas touche,Polar/Thriller,"Paris, années 30. Deux soeurs, Agathe et Blanche, profitent pleinenment de la vie. Une insouciance qui bascule du jour au lendemain après le drame qui entraine la mort d'Agathe. Désamparée, Blanche n'a plus qu'une idée en tête : retrouver le meurtrier de sa soeur, quitte à fréquenter les lieux les plus improbables...",NULL,misspastouche.jpg,13437,Français
50,Gus,Western humoristique,"Au menu, cinq histoires ambiance « western » dont les héros, Gus, Clem et Gratt, accessoirement occupés à attaquer banques et trains, cherchent activement l’âme sœur. Nous avions découvert un échantillon de cette série, Nathalie, dans le Pilote Spécial Noël : planqué avec ses copains dans une cabane perdue au fin fond de l’Ouest sauvage, Gus vit les affres de l’amour presque platonique (ce « presque » est très énervant) avec Nathalie, une femme aux orgasmes ébouriffants (en solo), qui va épouser un homme « exceptionnel » dont elle est « très éprise ». En clair, Gus n’arrivera pas à coucher avec elle. Cette première aventure donne le ton des suivantes : Gus, Clem, Gratt ; El Dorado ; Linda Mc Cormick ; Isabella. On y voit les trois copains en virée à El Dorado, « l’endroit ultime », la ville où les femmes sont libres... ",NULL,Gus_10012007.jpg,14662,Français
51,Peter Pan,Aventure,"Dans le Londres de l'époque Victorienne, les aventures réinventées du célébre petit faune des jardins de Kensington. Suberbe, tant par la virtuosité du dessin, que par l'intelligence du scénario. Un futur grand classique.",NULL,PeterPanP.jpg,4,Français
52,A la recherche de Peter Pan,Roman graphique,"Qu'est donc venu chercher Sir Melvin Woodworth au beau milieu des Alpes Valaisannes ? L'inspiration pour un nouveau roman que les éditeurs londoniens lui réclament à corps et à cris ? En partie, mais sa quête est double : il est également à la poursuite d'un souvenir, de l'ombre de son frère Dragan, pianiste échoué au beau milieu des montagnes. Il découvrira qu'il faut parfois relire le passé sous un angle différent pour pouvoir écrire l'avenir.
",NULL,AlaRecherchePeterPanP.jpg,77,Français
53,Sambre,Historique,Une superbe fresque romantique dans la France du XIXème siècle. On dirait du Balzac en image. Le dessin est superbe et colle parfaitement au scénario. Un vrai roman graphique.,NULL,Sambre.jpg,88,Français
54,Sambre - La guerre des Sambre,Historique,"La Guerre des Sambre est une collection de romans d'amour, reliés entre eux par un fil rouge inconscient, et célébrant la messe noire des amants maudits. De la préhistoire à la Révolution, en passant par les Croisades et l’Inquisition, le lecteur reconnaitra les ancêtres des Sambre et de Julie.",NULL,GuerreDesSambreLa_22052007.jpg,15361,Français
55,Quête de l'oiseau du temps (La),Heroic Fantasy,NULL,NULL,Queteoiseautemps2P.jpg,5,Français
56,Koma,Fantastique,"Addidas. Une toute petite fille qui passe le plus clair de son temps avec son papa ramoneur. C’est qu’il y en a des cheminés à nettoyer dans la mégapole industrielle où vit la petiote. Et comme une cheminée, c’est surtout des boyaux sales et étroits, Addidas est bien utile à son papa. Elle peut s’y glisser avec facilité et contribuer à la pérennité de l ‘entreprise familiale.

Bon, sa maman est morte et elle lui manque, à Addidas. Tout comme à son papa d’ailleurs. Tellement que le ramoneur aurait tendance à ressasser de bien douloureux souvenirs. Et c’est pas bon pour les affaires de se noircir l’esprit. Surtout pour un ramoneur. Sans parler de la maladie d’Addidas. Un drôle de truc qui la fait tomber raide d’un coup, sans autre forme d’explication. 

Même les spécialistes y perdent leur latin. C’est dire. Mais la solution se trouve peut-être au fond des énormes cheminées. Enfin, en dessous plus exactement. Là où existe un monde des profondeurs. Avec des monstres. Et des machines. Si poésie et BD font bon ménage, Addidas devrait sans problème présider leur noces de diamant !


",NULL,komapl.jpg,7657,Français
57,Lupus,Science-fiction,"Après Constellation, et bien loin des livraisons de son moi décrites dans Pilules Bleues, Frederik Peeters se lance avec Lupus dans une série de science-fiction, histoire de ne pas être là où on pourrait l'attendre, et surtout de se faire plaisir. Bien que l'on trouve dans Lupus des éléments inhérents au genre (dont des vaisseaux spatiaux, des mondes étranges et d'énoormes monstres) c'est avant tout à la description des relations humaines que s'intéresse ici l'auteur. Le tout tourne autour de Lupus et Tony, en vadrouille aux quatres coins de la galaxie, à la recherche d'un gros morceau à pêcher et remplis au-delà de l'excès de stupéfiants en tous genres. Du bon temps facile en perspective, et ce jusqu'à cette rencontre fortuite avec Sanaa, jeune fille un peu larguée et dont la présence va agir comme un révélateur sur une amitié en pleine déliquescence.
Images: © ATRABILE - Peeters F. / Peeters F.

MAJ cotes: 24/12/2005",NULL,Lupus_26012003.jpg,5602,Français
58,De cape et de crocs,Humoristique,"Une bande exceptionnelle par la qualité du dessin mais également par le scénario et les dialogues. Le scénario est classique (un loup et un renard à la recherche d'un trésor) et les couleurs sont sublimes, les dialogues excellents. A lire absolument

Deux fiers bretteurs - l'un loup, l'autre renard - découvrent, grâce à une carte cachée dans une bouteille, l'existence du fabuleux trésor des îles Tangerines. De geôles en galères, nos deux gentilshommes s'embarquent pour une incroyable aventure avec pour compagnon le terrible Eusèbe, lapin de son état...  ",NULL,decapeetdecrocsp_.jpg,3,Français
59,Québec,Histoire,NULL,NULL,Quebec_19032008_144822.jpg,17461,Français
60,Là où vont nos pères,Roman graphique,"Pourquoi tant d’hommes et de femmes sont-ils conduits à tout laisser derrière eux pour partir, seuls, vers un pays mystérieux, un endroit sans famille ni amis, où tout est inconnu et l’avenir incertain ? Dessiné dans des teintes sépias, comme si l'histoire oscillait entre rêve et réalité mais aussi entre passé et présent.Cette bande dessinée silencieuse est l’histoire de tous les immigrés, tous les réfugiés, tous les exilés, et un hommage à ceux qui ont fait le voyage ...Album d'une profonde originalité, consacré à un thème plus que jamais d'actualité.",NULL,LaOuVontNosPeres_28022007.jpg,14903,Français
61,Petits ruisseaux (Les),Chronique,"Chaque jour, Edmond et Pierre, deux petits vieux (ou deux ''seniors'', pourront dire les plus ancrés dans la modernité), s'installent au bord de la rivière pour pêcher. Ils font de temps à autres des pauses pour casser la graine ou boire un coup de blanc. Parfois ça mord un peu...",NULL,PetitsRuisseauxLes_06052006.jpg,13544,Français
62,Zoo,Roman graphique,"La folie des hommes répand la mort. En Normandie, où le zoo vit de moins en moins comme un coin de paradis, l'écho de la guerre se rapproche. Pour Anna, Célestin, Buggy et Manon c'est le début des temps incertains. Et le zoo, hommes et bêtes, sera bientôt au coeur de la tourmente.
Une série pétrie de force, d'émotion et de beauté.",NULL,Zoo.jpg,281,Français
63,V pour Vendetta,Anticipation,NULL,NULL,pvendetta0334_28122001.jpg,1818,Français
64,Donjon Zénith,Humoristique,"Par mégarde, Herbert le canard, sous-fifre au service du Gardien du donjon, a provoqué la mort d'un barbare que son maître destinait à une périlleuse mission. Ni vu ni connu, le volatile endosse les habits (un peu larges) du défunt, et le voici lancé, en compagnie d'un saurien grognon, sur des routes qui regorgent d'aventures. Un peu trop, même, à son goût. ",NULL,DonjonP_16022002.jpg,2324,Français
65,Photographe (Le),Biographie,NULL,NULL,photographe_03102003.jpg,7612,Français
66,Notes pour une histoire de guerre,Roman graphique,NULL,NULL,NotesPourUneHistoireDeGuerre_25012005.jpg,10870,Français
67,RG,Policier,"Dragon appartient aux RG depuis 5 ans. Son quotidien c'est la planque, les heures de surveillance ingrates, le terrain et l'investigation en tous genres. Sa méthode l'audace, la pugnacité. Ses récompenses, les coups d'adrénaline et les contrariétés du système politico judiciaire français...
En bon flic déterminé, il se voit confier un « boulot discret ». Diriger une cellule spéciale, non officielle, qui aura la charge de surveiller un groupe de trafiquants suspectés de financer une organisation terroriste.
(c) Gallimard",NULL,rg_pl.jpg,15328,Français
68,Lucille,Tranche de vie,"En choisissant de construire sa narration sur 500 pages, Ludovic Debeurme cherche à nous immerger totalement dans l'intimité de ses personnages comme jamais encore un récit de bande dessinée ne l'avait fait auparavant. Page après page, l'auteur nous invite à suivre au quotidien Lucille et Arthur, deux adolescents pour qui la vie n'est ni facile, ni douce. C'est avec justesse, émotion et pudeur qu'il va faire de nous des témoins, jamais des voyeurs, de ces deux vies chahutées. À travers ce récit âpre, rigoureux et sans concession, Ludovic Debeurme ne joue pas le jeu du pathos ou du désespoir, au contraire il sait avec grand talent mettre en lumière la subtilité des sentiments de ses personnages, faire surgir l'énergie, la tendresse et l'amour qui pourront permettre à ces deux êtres en perdition de renaître.En laissant au lecteur le temps d'appréhender ces personnages, en s'attachant à toutes les complexités de leur deux personnalités, Ludovic Debeurme réussit à nous amener à un troublant sentiment de proximité avec ceux-ci.Le livre refermé, Lucille et Arthur ne seront plus de simples personnages de papier mais bien des êtres qu'il vous semblera connaître. - Futuropolis",NULL,Lucille_31012006.jpg,13093,Français
